full_school_name,school_name_duplicate_column_name_1,player_name,position,height,weight,year,hometown,state,id_duplicate_column_name_1,division,conference,school_name,roster_url,id,,
Cincinnati Bearcats,Cincinnati,Shaq Washington,WR,69,174,SO,"MAPLE HEIGHTS, OH",OH,28,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Tshumbi Johnson,WR,71,175,FR,"IMMOKALEE, FL",FL,29,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Rodriguez Moore,RB,70,176,JR,"BASTROP, LA",LA,30,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Zach Edwards,S,71,186,FR,"MIDDLETOWN, OH",OH,31,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Hosey Williams,RB,69,199,JR,"MIAMI, FL",FL,32,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Eric Wilson,LB,74,205,FR,"REDFORD, MI",MI,33,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Chris Burrell,WR,66,160,JR,"WESTWOOD, NJ",NJ,34,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,John Lloyd,P,74,237,JR,"CINCINNATI, OH",OH,35,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Arryn Chenault,S,73,208,SR,"CINCINNATI, OH",OH,36,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Rob Rice,RB,70,178,SR,"CINCINNATI, OH",OH,37,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Braxton Lane,S,71,202,FR,"TYRONE, GA",GA,38,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Drake Bruns,DB,73,201,FR,"FORT THOMAS, KY",KY,39,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Andre Jones,S,73,197,FR,"CINCINNATI, OH",OH,40,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Darren Doston,S,74,195,JR,"DAYTONA BEACH, FL",FL,41,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Zach Higgenbotham,LB,73,211,FR,"CINCINNATI, OH",OH,42,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Solomon Tentman,LB,74,237,JR,"CINCINNATI, OH",OH,43,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Tim Helton,WR,74,189,FR,"CLEVELAND, OH",OH,44,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Dylan Coombs,CB,73,182,FR,"CINCINNATI, OH",OH,45,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Josh Russ,TE,77,240,JR,"ELYRIA, OH",OH,46,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Marcus Foster,S,73,204,FR,"TROY, OH",OH,47,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Lindsay Crook,LB,74,222,FR,"CINCINNATI, OH",OH,48,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Mason Antoun,LB,73,225,SO,"CINCINNATI, OH",OH,49,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,EJ Junior,FB,73,222,SR,"MIDDLETOWN, OH",OH,50,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Kyle Nutter,FB,71,230,FR,"GENOA, OH",OH,51,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Kevin Brown,LB,73,206,SO,"INDIANAPOLIS, IN",IN,52,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Kevin Hyland,LB,74,230,SO,"CINCINNATI, OH",OH,53,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Jared Golden,FB,73,240,SO,"GALLIPOLIS, OH",OH,54,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Nick Temple,LB,70,218,JR,"INDIANAPOLIS, IN",IN,55,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Corey Mason,LB,75,223,JR,"CINCINNATI, OH",OH,56,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Ey'Shawn McClain,LB,73,234,FR,"JACKSONVILLE, FL",FL,57,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Mitch Meador,DT,76,290,SR,"GREENWOOD, IN",IN,58,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Jon Vincent,LS,74,210,SR,--,--,59,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Jeff Luc,LB,73,251,JR,"PORT SAINT LUCIE, FL",FL,60,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Anthony King,RB,71,219,SR,"CHICAGO, IL",IL,61,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Alex Pace,DL,74,282,FR,"CLEVELAND, OH",OH,62,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Greg Blair,LB,74,252,SR,"PITTSBURGH, PA",PA,63,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Elijah Shuler,DE,75,257,SR,"NORTH BRANFORD, CT",CT,64,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Franklin Bruscianelli,LB,73,221,FR,"WOODRIDGE, IL",IL,65,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Andrew Gantz,K,69,158,FR,"DAYTON, OH",OH,66,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Mark Wilson,DE,75,225,FR,"HAMPTON, VA",VA,67,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Clemente Casseus,LB,73,227,JR,"MIAMI, FL",FL,68,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Sam Geraci,P,74,212,FR,"CINCINNATI, OH",OH,69,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Dwight Jackson,DE,73,213,JR,"MIAMI, FL",FL,70,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Deyshawn Bond,OL,74,287,FR,"INDIANAPOLIS, IN",IN,71,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Sam Longo,OL,77,305,SR,"SPRING VALLEY, OH",OH,72,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Kirk Willis,LS,74,231,SO,"GRANVILLE, OH",OH,73,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Cory Keebler,OL,79,294,JR,"LIBERTY TOWNSHIP, OH",OH,74,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Dan Sprague,OL,75,290,SR,"WORTHINGTON, OH",OH,75,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Will Steur,OL,76,303,FR,"CINCINNATI, OH",OH,76,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Tyreek Burwell,OL,77,230,SR,"HUNTINGTON STATION, NY",NY,77,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Connor Donnini,DT,70,293,SO,"DAYTON, OH",OH,78,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,David Niehaus,OL,73,288,FR,"CINCINNATI, OH",OH,79,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Kyle Williamson,OL,77,281,FR,"MADEIRA, OH",OH,80,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Dominic Mainello,OL,75,280,JR,"FORT MITCHELL, KY",KY,81,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Brandon Mitchell,DL,74,308,SO,"CINCINNATI, OH",OH,82,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Eric Lefeld,OL,78,309,JR,"COLDWATER, OH",OH,83,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Garrett Campbell,OL,77,308,FR,"CINCINNATI, OH",OH,84,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Ryan Leahy,OL,78,282,FR,"CINCINNATI, OH",OH,85,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Justin Murray,OL,77,294,SO,"CINCINNATI, OH",OH,86,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Kevin Schloemer,OL,79,312,JR,"LIBERTY TOWNSHIP, OH",OH,87,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Austen Bujnoch,OL,77,290,SR,"CINCINNATI, OH",OH,88,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Parker Ehinger,OL,79,292,SO,"ROCKFORD, MI",MI,89,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Andre Cureton,OL,78,310,SR,"INDIANAPOLIS, IN",IN,90,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Alex Chisum,WR,75,195,JR,"FAYETTEVILLE, GA",GA,91,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,DJ Dowdy,TE,76,223,FR,"AKRON, OH",OH,92,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Max Morrison,WR,73,173,SO,"KENTON, OH",OH,93,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Chris Burton,TE,75,272,FR,"DANVILLE, VA",VA,94,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Nate Cole,WR,73,193,FR,"MEMPHIS, TN",TN,95,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Travis Johnson,TE,76,249,FR,"TAMPA, FL",FL,96,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Blake Annen,TE,77,250,SR,"UPPER ARLINGTON, OH",OH,97,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Jacob Giltrow,WR,72,190,SR,"WEST CHESTER, OH",OH,98,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Javon Harrison,WR,73,200,FR,"DAYTON, OH",OH,99,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
Cincinnati Bearcats,Cincinnati,Shakim Alonzo,WR,76,218,FR,"PITTSBURGH, PA",PA,100,FBS (Division I-A Teams),American Athletic,Cincinnati,http://espn.go.com/ncf/teams/roster?teamId=2132,1,,
