incidnt_num,date,day,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,"SELECT incidnt_num,"
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,"       date,"
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,"       SUBSTR(date, 4, 2) AS day"
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,  FROM tutorial.sf_crime_incidents_2014_01
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.46E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
1.40E+08,01/31/2014 08:00:00 AM +0000,31,,,,
